I/O Description and Function,,,,,Truth Table,,,,,,,,,,,,,,,,,,,,,,,,,,,
sign extend,"pad the MSB of the 12-bit branch address with 4 duplicates
of the sign-bit (MSB) to bring its bit-length to a full 16 bit address
in preparation for adding it to the current PC+4 address",,,,stw,0,0,0,0,0,0,00,0,0,0,x,x,1,,x,1,0,0,0,0,0,0,0,00,1,0,x
left shift 1,Shift the branch or jump increment by 1 byte to get the word address,,,,plusi,0,0,0,0,0,0,00,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,00,0,1,0
data mem,"Since this a Von Neuman architecture, the program and data memory
 are separate. 
Therefore, data mem represents the system memory",,,,lupi,0,0,0,0,0,0,00,0,1,0,1,0,0,,1,0,0,0,0,0,0,0,0,00,0,1,0
xor1,xor the Overflow and Negative Flags,,,,stop,x,x,x,x,x,x,XX,0,x,x,x,x,0,,x,0,0,x,x,x,x,x,x,XX,x,x,x
xor2,"only one branch operation (opcode) should be valid at a time.
 If the xor results in 1, branch. Otherwise, don't branch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Branch Instructions Operation Table,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control Lines,,,,,fklt,(N xor V),,,,and fklt,,,,,,,,,,,,,,,,,,,,,,
fkgt,"if high, evaluate fkgt operation",,,,fkle,(Z or (NxorV)),,,,and fkle,,,,,,,,,,,,,,,,,,,,,,
fkle,"if high, evaluate fkle operation",,,,fkgt,~(Z or (NxorV)),,,,and fkgt,,,,,,,,,,,,,,,,,,,,,,
fklt,"if high, evaluate fklt operation",,,,fkge,~(N xor V),,,,and fkgt,,,,,,,,,,,,,,,,,,,,,,
fkge,"if high, evaluate fkge operation",,,,fkeq,Z,,,,and fkeq,,,,,,,,,,,,,,,,,,,,,,
fkne,"if high, evaluate fkne operation",,,,fkne,~Z,,,,and fkne,,,,,,,,,,,,,,,,,,,,,,
fkeq,"if high, evaluate fkeq operation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jump ,"if jump signal high, mux 3 should
set the program counter to the
address set in the jump instruction
shifted left 1 bit to get word address",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regdst,"depending on the type of instruction,
sets write register to Rd, or Rt. 1 for R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memtoreg,"determines whether new data is sent to
write register in register file. 0 for no 1 for yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALU Control,"this signal determines what arithmetic operation
ALU1 will perform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mem
 read/write","signal/flag to tell data memory whether
the CPU wants to read from it or write to it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFMux,"If RFMux = 1, op code was R-type and thus
register file output is fed to ALU1. Otherwise,
op code was an I-type instruction and the address
or constant in bits 0-5 should be fed to ALU1 after it
is sign-extended",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
